Referencia,Fecha,Dia,Estacion,Activa E,Activa S,Reactiva1,Reactiva2,Reactiva3,Reactiva4,p,q
ZIV0034795314,2018-05-10 12:00:00,10/05/2018 00:00,S,0.728,0.0,0.099,0.0,0.0,0.016,7280.0,830.0
ZIV0034795315,2018-05-10 12:00:00,10/05/2018 00:00,S,0.115,0.0,0.0,0.0,0.0,0.035,1150.0,-350.0
ZIV0034795316,2018-05-10 12:00:00,10/05/2018 00:00,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZIV0034795317,2018-05-10 12:00:00,10/05/2018 00:00,S,0.305,0.0,0.023,0.0,0.0,0.026,3050.0,-29.999999999999993
ZIV0034795439,2018-05-10 12:00:00,10/05/2018 00:00,S,0.261,0.0,0.311,0.0,0.0,0.0,2610.0,3110.0
ZIV0034795440,2018-05-10 12:00:00,10/05/2018 00:00,S,0.146,0.0,0.062,0.0,0.0,0.024,1460.0,380.0
ZIV0034795441,2018-05-10 12:00:00,10/05/2018 00:00,S,0.089,0.0,0.0,0.0,0.0,0.052,890.0,-520.0
ZIV0034795442,2018-05-10 12:00:00,10/05/2018 00:00,S,0.155,0.0,0.007,0.0,0.0,0.018,1550.0,-110.0
ZIV0034795444,2018-05-10 12:00:00,10/05/2018 00:00,S,0.969,0.0,0.145,0.0,0.0,0.016,9690.0,1290.0
ZIV0034795445,2018-05-10 12:00:00,10/05/2018 00:00,S,0.074,0.0,0.0,0.0,0.0,0.089,740.0,-890.0
ZIV0034795446,2018-05-10 12:00:00,10/05/2018 00:00,S,0.043,0.0,0.0,0.0,0.0,0.023,430.0,-230.0
ZIV0034795447,2018-05-10 12:00:00,10/05/2018 00:00,S,0.394,0.0,0.058,0.0,0.0,0.007,3940.0,510.00000000000006
ZIV0034795473,2018-05-10 12:00:00,10/05/2018 00:00,S,0.166,0.0,0.004,0.0,0.0,0.112,1660.0,-1080.0
ZIV0034795474,2018-05-10 12:00:00,10/05/2018 00:00,S,0.006,0.0,0.0,0.0,0.0,0.099,60.0,-990.0
ZIV0034795475,2018-05-10 12:00:00,10/05/2018 00:00,S,0.206,0.0,0.0,0.0,0.0,0.006,2060.0,-60.0
ZIV0034795509,2018-05-10 12:00:00,10/05/2018 00:00,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZIV0034795511,2018-05-10 12:00:00,10/05/2018 00:00,S,0.111,0.0,0.062,0.0,0.0,0.0,1110.0,620.0
ZIV0034795513,2018-05-10 12:00:00,10/05/2018 00:00,S,0.122,0.0,0.0,0.0,0.0,0.028,1220.0,-280.0
ZIV0034795514,2018-05-10 12:00:00,10/05/2018 00:00,S,0.054,0.0,0.037,0.0,0.0,0.029,540.0,79.99999999999997
ZIV0034795515,2018-05-10 12:00:00,10/05/2018 00:00,S,0.93,0.0,0.24,0.0,0.0,0.04,9300.0,1999.9999999999998
ZIV0034795516,2018-05-10 12:00:00,10/05/2018 00:00,S,0.572,0.0,0.327,0.0,0.0,0.0,5720.0,3270.0
ZIV0034795528,2018-05-10 12:00:00,10/05/2018 00:00,S,0.612,0.0,0.448,0.0,0.0,0.013,6120.0,4350.0
ZIV0034795533,2018-05-10 12:00:00,10/05/2018 00:00,S,0.778,0.0,0.175,0.0,0.0,0.0,7780.0,1750.0
ZIV0034795538,2018-05-10 12:00:00,10/05/2018 00:00,S,0.304,0.0,0.206,0.0,0.0,0.0,3040.0,2060.0
ZIV0034795545,2018-05-10 12:00:00,10/05/2018 00:00,S,0.215,0.0,0.0,0.0,0.0,0.157,2150.0,-1570.0
ZIV0034795578,2018-05-10 12:00:00,10/05/2018 00:00,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
